clubid,name,division,based
4303,Mes Kerman,Iranian First Division,Iran (First Division)
4304,Mes Rafsanjan,Iranian First Division,Iran (First Division)
4305,Mes Shahr-e Babak,Iranian Lower Division,Iran (Lower Division)
4306,Mesolongi,Greek Regional Division Group 4,Greece (Regional Division 4)
4307,Mestre,Italian Serie D Grp. C,Italy (Serie D Grp. C)
4308,Metalac,Serbian First League,Serbia (First League)
4309,Metalac Osijek,Croatian Regional League - Osijek (14),Croatia (ZNL - Osiejk)
4310,Metalist 1925,Ukrainian First League,Ukraine (First League)
4311,Metallurg Lipetsk,Russian Second Division - Central,Russia (Second Division - Central)
4312,Metaloglobus,Romanian Fourth League BucureÅti,Romania (Liga II)
4313,Metalurgistul Cugir,Romanian Third League Group 5,Romania (Liga III Seria 5)
4314,Metamorfosi,Greek Amateur Division - Athens,Greece (GAD - Athens)
4315,Meteor,Czech Fourth Division B,Czech Republic (Fourth Division B)
4316,Meteora,Greek Regional Division Group 3,Greece (Regional Division 3)
4317,Metkovic,Croatian Regional League - Dubrovnik (19),Croatia (ZNL - Dubrovnik)
4318,Metro (NZL),New Zealand NRFL Division Two,New Zealand (NRFL Division 2)
4319,MetroStars,National Premier Leagues - South Australia,Australia (NPL South Australia)
4320,Meuselwitz,German Regional Division Northeast,Germany (Regional Div. Northeast)
4321,Mevaseret-Zion,Israeli C League Central Division,Israel (C League Central)
4322,Meyrin,Swiss First League Group 1,Switzerland (First League Group 1)
4323,MFC,Brazilian National Fourth Division,Brazil (Fourth Division)
4324,MFC Metalurg Zp,Ukrainian First League,Ukraine (First League)
4325,MFC Pervomaysk,Ukrainian Amateur League - Group 2,Ukraine (Ukrainian Amateur League )
4326,Miami City,USSL D3 - Southeast Division,U.S.A. (Southeast Division)
4327,Miami FC,NPSL South Region,U.S.A. (South Region)
4328,Miami United,NPSL South Region,U.S.A. (South Region)
4329,Michalovce,Slovak First Division,Slovakia (First Division)
4330,Mictlán,Primera DivisiÃ³n de Ascenso Guatemala,Guatemala (Primera DivisiÃ³n)
4331,Middelfart,2. Division,Denmark (2. Division)
4332,Middlesbrough,Sky Bet Championship,England (Sky Bet Championship)
4333,Midland,Argentine Metropolitan C Zone,Argentina (Fourth Division AFA)
4334,Mieres Deportivo,Spanish Third Division Group 2,Spain (Third Division Group 2)
4335,Mieszko,Polish Third Division Group 2,Poland (Third Division Group 2)
4336,Migdal HaEmek,Israeli A League North Division,Israel (A League North)
4337,Mighty Wanderers,Malawian Premier Division,Malawi (Premier Division)
4338,Miklavz,Slovenian Lower League,Slovenia (Lower League)
4339,Mikrasiates,Greek Amateur Division - Ipeiros,Greece (GAD - Ipeiros)
4340,Mikulovice,Czech Lower Division,Czech Republic (Lower Division)
4341,Milan,Italian Serie A,Italy (Serie A)
4342,Milano City,Italian Serie D Grp. B,Italy (Serie D Grp. B)
4343,Milevsko,Czech Lower Division,Czech Republic (Lower Division)
4344,Milford Utd,Irish Donegal Junior Premier Division,Ireland (Donegal Premier Division)
4345,Milin,Czech Lower Division,Czech Republic (Lower Division)
4346,Mill Park SC,Victorian State League 2 North-West,Australia (Vic SL 2NW)
4347,Millonarios,Colombian First Division,Colombia (First Division)
4348,Millwall,Sky Bet Championship,England (Sky Bet Championship)
4349,Milton SC,CSL Second Division,Canada (CSL2)
4350,Milwaukee Torrent,NPSL Midwest Region,U.S.A. (Midwest Region)
4351,Mimas Mikrasiatiki,Greek Amateur Division - Western Attica,Greece (GAD - Western Attica)
4352,Minaj,Ukrainian First League,Ukraine (First League)
4353,Minaur Baia Mare,Romanian Third League Group 5,Romania (Liga III Seria 5)
4354,Mineros,Mexican Promotion League,Mexico (Promotion League)
4355,Mineros B,Mexican Premier Division Serie B,Mexico (Premier League Serie B)
4356,Minerva,Spanish Regional Preferente Cantabria,Spain (Reg. Pref. Cantabria)
4357,Minnesota,Major League Soccer,U.S.A. (MLS)
4358,Minoiki,Greek Amateur Division - Irakleio,Greece (GAD - Irakleio)
4359,Minsk,Belarusian Highest League,Belarus (Highest League)
4360,Minyor Pernik,Bulgarian Third League South-West,Bulgaria
4361,Minyor Radnevo,Bulgarian Third League South-East,Bulgaria
4362,Miory,Belarusian Lower League,Belarus (Lower League)
4363,MiPK,Finnish Second Division Group A,Finland (Second Division Group A)
4364,Miramar Rangers,New Zealand Central League,New Zealand (Central League)
4365,Mirandela,Portugal Championship - Group A,Portugal (PT Championship A)
4366,Mirassol,Brazilian National Lower Division,Brazil (Lower Division)
4367,Mirbat,Omani Professional League,Oman (Pro League)
4368,Missile,Gabonese Premier Division,Gabon (Premier Division)
4369,Mississippi Brilla,USSL D3 - Deep South Division,U.S.A. (Deep South)
4370,Mitchelton FC,Queensland Premier League,Australia (Premier League)
4371,Mitra Kukar,Indonesian League Two,Indonesia (League Two)
4372,Mitre (Salta),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
4373,Mitre (SdE),Argentine Second Division,Argentina (Second Division)
4374,Mittweida,German Lower Division,Germany (German Lower Division)
4375,Mixco,Liga Nacional de Guatemala,Guatemala (Liga Nacional)
4376,Mixto (MT),Brazilian National Lower Division,Brazil (Lower Division)
4377,MK Dons,Sky Bet League One,England (Sky Bet League One)
4378,MKS Kluczbork,Polish Third Division Group 3,Poland (Third Division Group 3)
4379,MKS Piaseczno,Polish Fourth Division,Poland (Fourth Division)
4380,MKS Trzebinia,Polish Fourth Division,Poland (Fourth Division)
4381,Mlada Boleslav,Czech First Division,Czech Republic (First Division)
4382,Mladenovac,Serbian Second League Belgrade,Serbia (Second League Belgrade)
4383,Mladi radnik,Serbian Second League West,Serbia (Second League West)
4384,Mladost,Serbian SuperLeague,Serbia (SuperLeague)
4385,Mladost (BJ),Serbian Zone League,Serbia (Zone League)
4386,Mladost (DK),Bosnian Premier League,Bosnia & Herzegovina (Premier League)
4387,Mladost (G),Bosnian Lower League,Bosnia & Herzegovina (Lower League)
4388,Mladost (NS),Serbian Zone League,Serbia (Zone League)
4389,Mladost (O),Serbian Zone League,Serbia (Zone League)
4390,Mladost Buzin,Croatian Regional League - Zagreb (21),Croatia (ZNL - Zagreb)
4391,Mladost Fazana,Croatian Regional League - Pazin (18),Croatia (ZNL - Pazin)
4392,Mladost KP,Croatian Regional League - Koprivnica (6),Croatia (ZNL - Koprivnica)
4393,Mladost Petrinja,Croatian Third League Central,Croatia (Third League Central)
4394,Mladost Prolozac,Croatian Regional League - Split (17),Croatia (ZNL - Split)
4395,Mladost Vodjinci,Croatian Regional League - Vukovar (16),Croatia (ZNL - Vukovar)
4396,Mladost Zabok,Croatian Regional League - Krapina (2),Croatia (ZNL - Krapina)
4397,Mladost Zdralovi,Croatian Third League North,Croatia (Third League North)
4398,Modafen,Turkish 3. League Group 3,Turkey (3. League Group 3)
4399,Modbury Jets,South Australia - State League 1,Australia (SA - State League 1)
4400,Modena,Italian Serie C/B,Italy (Serie C/B)
4401,MOF,Malaysian Lower Division,Malaysia (Lower Division)
4402,Mohács,Hungarian Lower Division,Hungary (Lower Division)
4403,Mohammedan,Indian Second Division,India (Second Division)
4404,Mohammedan SC (D),Bangladeshi Premier League,Bangladesh (Premier League)
4405,Mohelnice,Czech Lower Division,Czech Republic (Lower Division)
4406,Mohun Bagan,Indian National Football League,India (National Football League)
4407,Moimenta da Beira,Portuguese Viseu First Division,Portugal (Viseu Honor Division)
4408,Moires,Greek Amateur Division - Irakleio,Greece (GAD - Irakleio)
4409,Mojokerto Putra,Unknown,Indonesia
4410,Mokra Gora,Serbian Second League West,Serbia (Second League West)
4411,Mokre Lazce,Czech Lower Division,Czech Republic (Lower Division)
4412,Molde,Norwegian Premier Division,Norway (Premier Division)
4413,Molodechno,Belarusian Second League,Belarus (Second League)
4414,Monagas S.C.,Venezuelan Premier Division,Venezuela (Premier Division)
4415,Monaghan Town,Irish Monaghan Cavan Premier Division,Ireland (Monaghan Cavan League)
4416,Monaro Panthers,National Premier Leagues - ACT,Australia (NPL ACT)
4417,Monash City,Victorian State League 4 - East,Australia (Vic State League 4 East)
4418,Monash University SC,Victorian State League 3 South-East,Australia (VIC SL 3SE)
4419,Monbulk Rangers,Victorian State League 2 South-East,Australia (Vic SL 2 SE)
4420,Mondorf,Luxembourg National Division,Luxembourg (National Division)
4421,Moneyslane,Northern Irish Mid Ulster Intermediate A,N.Ireland (Mid Ulster Intermediate A)
4422,Monopoli,Italian Serie C/C,Italy (Serie C/C)
4423,Monor,Hungarian Division III - KÃ¶zÃ©p,Hungary (Division III - KÃ¶zÃ©p)
4424,Mons Calpe,Gibraltar National League,Gibraltar (National League)
4425,Mons Claudius,Slovenian Lower League,Slovenia (Lower League)
4426,Mont-Royal Outremont,PremiÃ¨re Ligue de soccer du QuÃ©bec,Canada (PLSQ)
4427,Montalegre,Portugal Championship - Group A,Portugal (PT Championship A)
4428,Montana,Bulgarian Second League,Bulgaria (Second League)
4429,Montauban,French Regional Divisions,France (Regional Divisions)
4430,Montcada,Spanish Primera Catalana Gr. 1,Spain (Primera Catalana G1)
4431,Monte Azul,Brazilian National Lower Division,Brazil (Lower Division)
4432,Montebelluna,Italian Serie D Grp. C,Italy (Serie D Grp. C)
4433,Montego Bay Utd,Jamaican Western Super League,Jamaica (Western Super League)
4434,Monterosi,Italian Serie D Grp. E,Italy (Serie D Grp. E)
4435,Monterrey,Mexican First Division,Mexico (First Division)
4436,Monthey,Swiss Second League Interregio Gr 1,Switzerland (Second League Inter Gr 1)
4437,Montlingen,Swiss Lower Division,Switzerland (Lower Division)
4438,Montpellier,French National 2 - C,France (Ligue 1 Conforama)
4439,Montreal Impact,Major League Soccer,U.S.A. (MLS)
4440,Montreux-Sports,Swiss Lower Division,Switzerland (Lower Division)
4441,Montrose,Ladbrokes League 1,Scotland (Ladbrokes League 1)
4442,Monza,Italian Serie C/A,Italy (Serie C/A)
4443,Moonlight,Indian Lower Division,India (Indian Lower Division)
4444,Mooroolbark SC,Victorian State League 2 South-East,Australia (Vic SL 2 SE)
4445,Mora C.F.,Spanish 1Âª AutonÃ³mica Pref. Castilla-La Mancha G1,Spain (1Âª Aut.Pref. La Mancha G1)
4446,Moralo,Spanish Third Division Group 14,Spain (Third Division Group 14)
4447,Morava (VH),Serbian Zone League,Serbia (Zone League)
4448,Moravac Orion,Serbian Second League East,Serbia (Second League East)
4449,Moravce,Slovenian Lower League,Slovenia (Lower League)
4450,Morbio,Swiss Lower Division,Switzerland (Lower Division)
4451,Mordovia,Russian First Division,Russia (First Division)
4452,Mordovia-M,Russian Third Division - Privolzhje,Russia (Third Division - Volga)
4453,Morecambe,Sky Bet League Two,England (Sky Bet League Two)
4454,Moreirense,Portuguese Premier League,Portugal (Premier League)
4455,Moreland City,National Premier Leagues - Victoria 2,Australia (NPL - Victoria 2)
4456,Moreland Utd,Victorian State League 2 North-West,Australia (Vic SL 2NW)
4457,Moreland Zebras,National Premier Leagues - Victoria 2,Australia (NPL - Victoria 2)
4458,Morelia,Mexican First Division,Mexico (First Division)
4459,Moreton Bay Utd,National Premier Leagues - Queensland,Australia (NPL Queensland)
4460,Morlautern,German Lower Division,Germany (German Lower Division)
4461,Mornington SC,Victorian State League 1 South-East,Australia (Vic State League 1SE)
4462,Morpeth,English Northern Premier League Premier Division,England (Northern Premier League)
4463,Morrone,Italian Eccellenza Calabria,Italy (Eccellenza Calabria)
4464,Morton,Ladbrokes Championship,Scotland (Ladbrokes Championship)
4465,Morwell Pegasus,Unknown,Australia
4466,Moschato,Greek Regional Division Group 5,Greece (Regional Division 5)
4467,Mosconia,Spanish Third Division Group 2,Spain (Third Division Group 2)
4468,Mosgiel,New Zealand Football South Premier League,New Zealand (South Premier)
4469,Moslavina,Croatian Regional League - Sisak (3),Croatia (ZNL - Sisak)
4470,Moss,Norwegian Fourth Division Group 1,Norway (Fourth Division Ãstfold)
4471,Most,Czech Lower Division,Czech Republic (Lower Division)
4472,Mosta,Maltese Premier League,Malta (Premier League)
4473,Motagua,Liga Nacional de Honduras,Honduras (Liga Nacional)
4474,Motherwell,Ladbrokes Premiership,Scotland (Ladbrokes Premiership)
4475,Motor,Polish Third Division Group 4,Poland (Third Division Group 4)
4476,Motor Lubawa,Polish Fourth Division,Poland (Fourth Division)
4477,Motorlet,Czech Third Division CFL A,Czech Republic (Third Division CFL A)
4478,Motril,Spanish Third Division Group 9,Spain (Third Division Group 9)
4479,Moulins Yzeure Foot,French National 2 - D,France (National 2 - D)
4480,Mountbatten,Singaporean Lower Division,Singapore (Lower Division)
4481,Mounties Wanderers,National Premier Leagues - NSW 2,Australia (NPL 2 NSW)
4482,Mouscron,Belgian Pro League A,Belgium (Pro League A)
4483,Moutier,Swiss Second League Interregio Gr 3,Switzerland (Second League Inter Gr 3)
4484,Moyola Park,Bluefin Sport Premier Intermediate League,N.Ireland (Bluefin Sport PIL)
4485,MP,Finnish Second Division Group A,Finland (Second Division Group A)
4486,MP Muar,Malaysian Lower Division,Malaysia (Lower Division)
4487,MPS Old Stars,Finnish Lower Division,Finland (Lower Division)
4488,Mracaj,Croatian Regional League - Split (17),Croatia (ZNL - Split)
4489,MRKS Czechowice-Dziedzice,Polish Fourth Division,Poland (Fourth Division)
4490,Mseno,Czech Lower Division,Czech Republic (Lower Division)
4491,Mszczonowianka,Polish Fourth Division,Poland (Fourth Division)
4492,Mt Albert-Ponsonby,New Zealand NRFL Division One,New Zealand (NRFL Division 1)
4493,Mt Druitt Rangers,National Premier Leagues - NSW,Australia (NPL NSW)
4494,Mt. Merrion,Irish Leinster Senior League 1B,Ireland (Leinster Senior 1B)
4495,Mthatha Bucks,SAFA Eastern Cape Division 2,South Africa (Eastern Cape Division 2)
4496,Mthatha City,SAFA Eastern Cape Division 3,South Africa (Eastern Cape Division 3)
4497,MTK,Hungarian Division II,Hungary (Division II)
4498,Muaither,Qatari League,Qatar (Q-League)
4499,Muangthong Utd,Thai League,Thailand (Thai League 4 - Bangkok)
4500,Muara Vella,Bruneian Lower Division,Brunei (Lower Division)
4501,Muharraq,Bahraini Premier League,Bahrain (Premier League)
4502,Mulaut,Bruneian Lower Division,Brunei (Lower Division)
4503,Mumbai,Unknown,India
4504,Municipal,Peruvian First Division,Peru (First Division)
4505,Municipal (Godoy Cruz),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
4506,Municipal (GUA),Liga Nacional de Guatemala,Guatemala (Liga Nacional)
4507,Municipal Lampa,Chilean North Group Third Division B,Chile (North Group 3Â°B)
4508,Municipal Mejillones,Chilean Third Division A,Chile (Third Division A)
4509,Municipal Salamanca,Chilean Third Division A,Chile (Third Division A)
4510,Municipal Santiago,Chilean Third Division A,Chile (Third Division A)
4511,Mura,Slovenian First League,Slovenia (First League)
4512,Muravera,Italian Serie D Grp. G,Italy (Serie D Grp. G)
4513,Murcia,Spanish Second Division B4,Spain (Second Division B4)
4514,Murcia B,Spanish Third Division Group 13,Spain (Third Division Group 13)
4515,Muri,Swiss Second League Interregio Gr 5,Switzerland (Second League Inter Gr 5)
4516,Murici,Brazilian National Lower Division,Brazil (Lower Division)
4517,Muro,Spanish Regional Division,Spain (Regional Division)
4518,Murom,Russian Second Division - West,Russia (Second Division - West)
4519,Murray United FC,National Premier Leagues - Victoria 3,Australia (NPL - Victoria 3)
4520,MuSa,Finnish First Division,Finland (First Division)
4521,Mushuc Runa,Ecuadorian Serie A,Ecuador (Serie A)
4522,Mutenice,Czech Lower Division,Czech Republic (Lower Division)
4523,Mutilvera,Spanish Third Division Group 15,Spain (Third Division Group 15)
4524,Muttenz,Swiss First League Group 2,Switzerland (First League Group 2)
4525,MVV,Keuken Kampioen Divisie,Holland (Keuken Kampioen Divisie)
4526,Myjava,Slovak Lower Division,Slovakia (Lower Division)
4527,Mykolaiv,Ukrainian First League,Ukraine (First League)
4528,Mykolaiv-2,Ukrainian Second League - Group B,Ukraine (Second League - Group B)
4529,Mykonos,Greek Amateur Division - Kyklades,Greece (GAD - Kyklades)
4530,Mylopotamos,Greek Amateur Division - Rethymno,Greece (GAD - Rethymno)
4531,MYPA,Finnish First Division,Finland (First Division)
4532,Myrini,Greek Amateur Division - Karditsa,Greece (GAD - Karditsa)
4533,Myrtleford SC,Albury Wodonga Football Association League,Australia (AWFA League)
4534,N. Sembilan,Malaysian Premier League,Malaysia (Premier League)
4535,N.E.C.,Keuken Kampioen Divisie,Holland (Keuken Kampioen Divisie)
4536,NA Hussein-Dey,Algerian League 1,Algeria (League 1)
4537,NAC Breda,Keuken Kampioen Divisie,Holland (Keuken Kampioen Divisie)
4538,Nachod,Czech Fourth Division C,Czech Republic (Fourth Division C)
4539,Nacional,Uruguayan First Division,Uruguay (First Division)
4540,Nacional (AM),Brazilian National Lower Division,Brazil (Lower Division)
4541,Nacional (PAR),Paraguayan First Division,Paraguay (First Division)
4542,Nacional (SP),Brazilian National Lower Division,Brazil (Lower Division)
4543,Nacional da Madeira,Portuguese Second League,Portugal (Second League)
4544,Nacional de Cardona,Uruguayan Colonia League,Uruguay (Colonia League)
4545,Nacional de Florida,Uruguayan Florida League,Uruguay (Florida League)
4546,Nacional de Melo,Uruguayan Cerro Largo League,Uruguay (Cerro Largo League)
4547,Nacional de Minas,Uruguayan Lavalleja League,Uruguay (Lavalleja League)
4548,Nacional de Patos,Brazilian National Lower Division,Brazil (Lower Division)
4549,Nacional de Rocha,Uruguayan Rocha League,Uruguay (Rocha League)
4550,Nacional de Salto,Uruguayan Salto League,Uruguay (Salto League)
4551,Nacional de San Carlos,Uruguayan Maldonado League,Uruguay (Maldonado League)
4552,Nacional de Tala,Uruguayan Canelones League,Uruguay (Canelones League)
4553,Nacional de Tarariras,Uruguayan Colonia League,Uruguay (Colonia League)
4554,Nacional de Trinidad,Uruguayan Flores League,Uruguay (Flores League)
4555,Nacional Nueva Helvecia,Uruguayan Colonia League,Uruguay (Colonia League)
4556,Nadezhda Dobroslavtsi,Bulgarian Third League South-West,Bulgaria
4557,Nadi,Fijian Premier League,Fiji (Premier League)
4558,Nadiya Lokachi,Ukrainian Lower Division,Ukraine (Lower Division)
4559,Nadnarwianka,Polish Fourth Division,Poland (Fourth Division)
4560,Nadur Y.,Maltese Lower Divisions,Malta (Lower Divisions)
4561,Nafpaktiakos,Greek Regional Division Group 4,Greece (Regional Division 4)
4562,Nafplio,Greek Regional Division Group 7,Greece (Regional Division 7)
4563,Naft Gachsaran,Iranian Second Division Group B,Iran (Second Division B)
4564,Naft Maysan,Iraqi Premier League,Iraq (Premier League)
4565,Naft MIS,Iranian Professional League,Iran (Pro League)
4566,Nafta,Slovenian Second League,Slovenia (Second League)
4567,Naftan,Belarusian First League,Belarus (First League)
4568,Nagold,German Lower Division,Germany (German Lower Division)
4569,Nagoya Stolz,Nihon-League 1,Japan (Nihon-League 1)
4570,Nagyatád,Hungarian Lower Division,Hungary (Lower Division)
4571,Nagybajom,Hungarian Lower Division,Hungary (Lower Division)
4572,Nagybaracska,Hungarian Lower Division,Hungary (Lower Division)
4573,Nagybátony,Hungarian Lower Division,Hungary (Lower Division)
4574,Nagyecsed,Hungarian Lower Division,Hungary (Lower Division)
4575,Nagykanizsa,Hungarian Division III - Nyugat,Hungary
4576,Nagykáta,Hungarian Lower Division,Hungary (Lower Division)
4577,Nahalat Yehuda,Israeli C League Central Division,Israel (C League Central)
4578,Nairn County,Highland Football League,Scotland (Highland League)
4579,Nairn St. Ninian,Scottish Juniors North Superleague,Scotland (North Superleague)
4580,Najip,Bruneian Super League,Brunei (Super League)
4581,Najran,Saudi First Division,Saudi Arabia (First Division)
4582,Nakambala Leopards,Zambian Premier League,Zambia (Premier League)
4583,Nakhon Pathom,Thai League Two,Thailand (Thai League 2)
4584,Nam Dinh,V.League One,Vietnam (V.League 1)
4585,Namdong,Korean K4 League,South Korea (K4 League)
4586,Namestovo,Slovak Lower Division,Slovakia (Lower Division)
4587,Nancy,Domino's Ligue 2,France (Domino's Ligue 2)
4588,Nantong,Chinese National First Division,China (First Division)
4589,Nantwich,English Northern Premier League Premier Division,England (Northern Premier League)
4590,Naousa,Greek Amateur Division - Imathia,Greece (GAD - Imathia)
4591,Napajedla,Czech Lower Division,Czech Republic (Lower Division)
4592,Napier City Rovers,New Zealand Central League,New Zealand (Central League)
4593,Naples United,NPSL South Region,U.S.A. (South Region)
4594,Napoli,Italian Serie A,Italy (Serie A)
4595,Napredak,Serbian SuperLeague,Serbia (SuperLeague)
4596,Napredak (NM),Serbian Zone League,Serbia (Zone League)
4597,Nardo,Norwegian Fourth Division Group 19,Norway (Fourth Div. TrÃ¸ndelag A)
4598,Narnese,Italian Eccellenza Umbria,Italy (Eccellenza Umbria)
4599,Nashville,USSL Division One Eastern Conference,U.S.A. (Eastern Conference)
4600,Nasinu,Fijian Premier League,Fiji (Premier League)
4601,NASK,Croatian Third League East,Croatia (Third League East)
4602,Nassaji,Iranian Professional League,Iran (Pro League)
4603,Naters Oberwallis,Swiss First League Group 1,Switzerland (First League Group 1)
4604,National,Norwegian Lower Division,Norway (Lower Division)
4605,NAU,Brazilian National Third Division,Brazil (Third Division)
4606,Náutico El Quillá,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
4607,Navalcarnero,Spanish Third Division Group 7,Spain (Third Division Group 7)
4608,Navbahor,Uzbekistan Superleague,Uzbekistan (Superleague)
4609,Navua,Fijian Lower Division,Fiji (Lower Division)
4610,Navy FC,Thai League Two,Thailand (Thai League 2)
4611,Nazilli Bld.,Turkish 3. League Group 3,Turkey (3. League Group 3)
4612,NBT,Bruneian Lower Division,Brunei (Lower Division)
4613,Ndengeza,SAFA Limpopo Division 2,South Africa (Limpopo Division 2)
4614,Nea Artaki,Greek Regional Division Group 6,Greece (Regional Division 6)
4615,Nea Ionia,Greek Amateur Division - Athens,Greece (GAD - Athens)
4616,Nea Kallikrateia,Greek Regional Division Group 2,Greece (Regional Division 2)
4617,Nea Krini,Greek Amateur Division - Macedonia,Greece (GAD - Macedonia)
4618,Nea Moudania,Greek Amateur Division - Chalkidiki,Greece (GAD - Chalkidiki)
4619,Nea Salamina,Cypriot First Division,Cyprus (First Division)
4620,Nea Triglia,Greek Football League,Greece (Football League)
4621,Necaxa,Mexican First Division,Mexico (First Division)
4622,Nedelisce,Croatian Regional League - Cakovec (20),Croatia (ZNL - Cakovec)
4623,Needham Market,English Southern League Premier Central,England (Southern Premier Central)
4624,Nefeli Kallithirou,Greek Amateur Division - Karditsa,Greece (GAD - Karditsa)
4625,Neftekhimik,Russian First Division,Russia (First Division)
4626,Neftenbach,Swiss Lower Division,Switzerland (Lower Division)
4627,Neftochimic 1962,Bulgarian Second League,Bulgaria (Second League)
4628,Nehaj,Croatian Third League West,Croatia (Third League West)
4629,Neilston,Scottish Juniors West Region Championship,Scotland (West Championship)
4630,Neitersen,German Lower Division,Germany (German Lower Division)
4631,Nejmeh,Lebanese Premier League,Lebanon (Premier League)
4632,Nelson Suburbs,New Zealand Mainland Premier League,New Zealand (Mainland Premier)
4633,Neman Grodno,Belarusian Highest League,Belarus (Highest League)
4634,Neman Mosty,Belarusian Lower League,Belarus (Lower League)
4635,Neman Stolbtsy,Belarusian Second League,Belarus (Second League)
4636,Nemsova,Slovak Lower Division,Slovakia (Lower Division)
4637,Neo Krikello,Greek Amateur Division - Fthiotida,Greece (GAD - Fthiotida)
4638,Neoi Evgenias,Greek Amateur Division - Piraeus,Greece (GAD - Piraeus)
4639,Nepean FC,National Premier Leagues - NSW 4,Australia (NPL - NSW 4)
4640,Neptun,Polish Fourth Division,Poland (Fourth Division)
4641,Neratovice,Czech Fourth Division B,Czech Republic (Fourth Division B)
4642,Nereto,Italian Eccellenza Abruzzo,Italy (Eccellenza Abruzzo)
4643,Neretva,Croatian Third League South,Croatia (Third League South)
4644,Neretvanac,Croatian Third League South,Croatia (Third League South)
4645,Nerimbera,Australian Lower Leagues,Australia (Lower Leagues)
4646,NEROCA (IND),Indian National Football League,India (National Football League)
4647,Nerostellati Pratola,Italian Eccellenza Abruzzo,Italy (Eccellenza Abruzzo)
4648,Nes Ziona,Israeli Premier League,Israel (Premier League)
4649,Nesebar,Bulgarian Third League South-East,Bulgaria (Third SE League)
4650,Nesher,Israeli B League North B Division,Israel (B League North B)
4651,Nestos,Greek Regional Division Group 1,Greece (Regional Division 1)
4652,Nettetal,German Div. Lower Rhine,Germany (Lower Rhine)
4653,Neuburg,German Lower Division,Germany (German Lower Division)
4654,Neustrelitz,German Div. North East - North,Germany (North East-North)
4655,Neve Golan,Israeli C League Tel-Aviv Division,Israel (C League Tel-Aviv)
4656,Neve Yosef,Israeli Youth National League North Division,Israel (Youth National North Div.)
4657,New England,Major League Soccer,U.S.A. (MLS)
4658,New Farm Utd,Brisbane Capital League 1,Australia (Capital League 1)
4659,New Mexico,USSL Division One Western Conference,U.S.A. (Western Conference)
4660,New Radiant,Maldivian Second Division,Maldives (Second Division)
4661,New York,Major League Soccer,U.S.A. (MLS)
4662,Newbridge Town,Irish Leinster Senior League Premier Division,Ireland (Leinster Premier Division)
4663,Newbuildings,Northern Irish Western Premier Division,N.Ireland (Western Premier)
4664,Newcastle,English Premier Division,England (Premier Division)
4665,Newcastle (NIR),Northern Irish Amateur Division 1A,N.Ireland (Amateur Division 1A)
4666,Newcastle Jets,Hyundai A-League,Australia (Hyundai A-League)
4667,Newcastle Jets (NPL),National Premier Leagues - NSW 4,Australia (NPL - NSW 4)
4668,Newell's,Argentine Premier Division,Argentina (Premier Division)
4669,Newell's (Laguna Larga),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
4670,Newington,Bluefin Sport Premier Intermediate League,N.Ireland (Bluefin Sport PIL)
4671,Newmarket Phoenix,Australian Lower Leagues,Australia (Lower Leagues)
4672,Newport Co,Sky Bet League Two,England (Sky Bet League Two)
4673,Newry City AFC,Bluefin Sport Championship,N.Ireland (Bluefin Sport CH)
4674,Newtown,JD Cymru Premier,Wales (JD Cymru Premier)
4675,Newtowne,Northern Irish Ballymena Premier Division,N.Ireland (Ballymena Premier)
4676,NFC Kesh,Northern Irish Fermanagh Division One,N.Ireland (Fermanagh Division One)
4677,NFK,Belarusian First League,Belarus (First League)
4678,Ngaruawahia Utd,New Zealand Lower Division,New Zealand (Lower Division)
4679,Ngezi Platinum,Zimbabwean Premier Division,Zimbabwe (Premier Division)
4680,NHH FK,Norwegian Fourth Division Group 15,Norway (Fourth Div. Hordaland B)
4681,Nielba,Polish Third Division Group 2,Poland (Third Division Group 2)
4682,Niendorfer TSV,German Div. Hamburg,Germany (Hamburg)
4683,Niesky,German Lower Division,Germany (German Lower Division)
4684,Niger Tornadoes,Nigerian Second Division,Nigeria (Second Division)
4685,Niigata Unicorn,Nihon-League 2,Japan (Nihon-League 2)
4686,Niigata Unicorn (Singapore),Singaporean Premier League,Singapore (Premier League)
4687,NIK,Finnish Third Division,Finland (Finnish Third Division)
4688,Nikao Sokattak,Cook Islands Round Cup,Cook Islands (Round Cup)
4689,Niki Agathias,Greek Regional Division Group 2,Greece (Regional Division 2)
4690,Niki Axou,Greek Amateur Division - Pella,Greece (GAD - Pella)
4691,Niki Efkarpias,Greek Amateur Division - Macedonia,Greece (GAD - Macedonia)
4692,Niki Kaminadon,Greek Amateur Division - Karditsa,Greece (GAD - Karditsa)
4693,Niki Renti,Greek Amateur Division - Piraeus,Greece (GAD - Piraeus)
4694,Niki Traganou,Greek Amateur Division - Ileia,Greece (GAD - Ileia)
4695,Niki Volou,Greek Football League,Greece (Football League)
4696,Nikolakakis,Greek Amateur Division - Eastern Attica,Greece (GAD - Eastern Attica)
4697,Nikopol,Ukrainian Second League - Group B,Ukraine (Second League - Group B)
4698,Ninove,Belgian Third Amateur Division A (Fla),Belgium (Third Division A)
4699,Niort,Domino's Ligue 2,France (Domino's Ligue 2)
4700,Niroye Zamini,Iranian First Division,Iran (First Division)
